,Node ID,X,Y,Element ID,Node 1,Node 2,Node 3,Node 4,Subregion,elevation,avg_xcoord,avg_ycoord,ele_area
0,1.0,650668.7006,4197067.933,1,1,4,5,2,5,14.0625,650521.56715,4196023.22025,2365971.7674674094
1,2.0,651695.087,4195543.905,2,2,5,6,7,5,17.6125,651447.47135,4194574.748,2539039.740303399
2,3.0,653312.4232,4195357.289,3,7,8,3,2,5,19.895,652884.7622,4194758.56375,1951190.8443088233
3,4.0,649437.9647,4196369.103,4,4,11,12,5,5,12.43,649272.389125,4195594.172,1608405.4353235913
4,5.0,650284.5163,4195111.94,5,5,12,13,6,5,14.982500000000002,650021.1913749999,4194337.1945,1929496.307042581
5,6.0,651119.9113,4193716.578,6,6,13,14,15,5,17.93,650832.1655250001,4192951.87875,2192146.4691604185
6,7.0,652690.3708,4193926.5689999997,7,7,6,15,16,5,21.43,652313.3072500001,4193119.8325000005,2298889.372397571
7,8.0,653841.1678,4194206.492,8,7,16,9,8,5,23.21,653631.225075,4193390.0485,1755298.24070396
8,9.0,654525.4254,4192931.285,9,18,9,16,17,5,27.965,654338.80965,4191974.87925,1782384.62261636
9,10.0,656236.0,4192060.0,10,9,18,10,0,5,29.653333333333336,655313.3352666666,4192132.8470000005,1018940.5714442607
10,11.0,648376.1877,4196003.37,11,20,10,18,19,5,32.980000000000004,655979.4555,4191049.47325,1730275.7664587062
11,12.0,648990.8878,4194892.275,12,10,20,21,0,5,34.46333333333333,656930.6714666666,4191313.8113333336,930909.305804481
12,13.0,649689.4501,4193627.985,13,31,14,29,30,5,13.1,649437.3964,4191792.4095,1477185.2845234773
13,14.0,650544.2901,4192122.617,14,33,14,31,32,5,14.71,650437.69325,4190938.78425,1958052.5539092794
14,15.0,651975.0106,4192340.335,15,15,14,33,34,5,19.88,651663.9844,4191453.9104999998,2499691.21988197
15,16.0,653467.9363,4192495.848,16,16,15,34,17,5,24.5525,653110.256175,4191687.18,2236566.2143977582
16,17.0,654183.2965,4191065.128,17,35,36,17,34,5,27.1925,653833.392075,4190240.90825,1947805.4771468188
17,18.0,655178.5804,4191407.256,18,17,36,19,18,5,31.324999999999996,654960.86205,4190559.71,1581654.72805197
18,19.0,655738.4276,4190132.0489999996,19,36,37,38,19,5,33.15,655520.7092250001,4189152.3164999997,1726760.5570461499
19,20.0,656764.814,4190598.588,20,19,38,39,20,5,37.2125,656578.1982750001,4189603.3045,1984081.4907938559
20,21.0,657791.2004,4191282.8460000004,21,20,39,40,21,5,39.33,657643.462975,4190186.4787500002,2060503.914748111
21,22.0,678797.8465,4192864.5689999997,22,21,40,41,0,5,41.17666666666667,658661.7425333334,4190436.5940000005,1042552.2964937242
22,23.0,680708.7989,4192705.728,23,22,46,47,0,5,128.41,678684.2475333334,4191788.163666667,1509647.8956095357
